z,h,std
0.09,66.72336321954865,12.0
0.17,67.78013235423609,8.0
0.27,69.0129794732311,14.0
0.4,71.16075295245679,17.0
0.9,90.23582633249464,23.0
1.3,115.22566174706421,17.0
1.43,124.46480697245272,18.0
1.53,131.85321319277082,14.0
1.75,148.85113066667097,40.0
0.48,73.01366496947841,62.0
0.88,89.16447711363612,40.0
0.1791,67.88941641859078,4.0
0.1993,68.1305625321488,5.0
0.3519,70.25672845412122,14.0
0.5929,76.43632493379093,13.0
0.6797,79.71004081775922,8.0
0.7812,84.19452750480934,12.0
0.8754,88.92102883729585,17.0
1.037,98.09258553317892,20.0
0.07,66.40749986740907,19.6
0.12,67.149483751983,26.2
0.2,68.13892321870352,29.6
0.28,69.14865117058798,36.6
1.363,119.64817110087691,33.6
1.965,166.32445634575706,50.4
0.3802,70.77081105692363,13.5
0.4004,71.16889822531647,10.2
0.4247,71.68423027124089,11.2
0.4497,72.25770772858252,12.9
0.4783,72.96945452068427,9.0
