z,h,std
0.09,64.64647830113734,12.0
0.17,67.99328607735944,8.0
0.27,72.38470637904675,14.0
0.4,78.43149029740232,17.0
0.9,105.10039219602815,23.0
1.3,130.11983185391284,17.0
1.43,138.91607555020755,18.0
1.53,145.89624309454973,14.0
1.75,161.88958678626787,40.0
0.48,82.33885145681265,62.0
0.88,103.93309506489966,40.0
0.1791,68.38337213272713,4.0
0.1993,69.25620701418487,5.0
0.3519,76.15006777235095,14.0
0.5929,88.08998737815283,13.0
0.6797,92.69764837935011,8.0
0.7812,98.28692003210718,12.0
0.8754,103.6655377321312,17.0
1.037,113.31362940302826,20.0
0.07,63.83325381764936,19.6
0.12,65.88399995664591,26.2
0.2,69.28665782300577,29.6
0.28,72.83637824351858,36.6
1.363,134.34277242975816,33.6
1.965,178.3382589188553,50.4
0.3802,77.4861710634032,13.5
0.4004,78.45064951177748,10.2
0.4247,79.62269983887973,11.2
0.4497,80.84239482026253,12.9
0.4783,82.25425475553017,9.0
