z,h,std
0.09,67.35446816099136,12.0
0.17,69.71695440314357,8.0
0.27,73.02297271235949,14.0
0.4,77.89159133051527,17.0
0.9,102.04689485721747,23.0
1.3,126.57070652406107,17.0
1.43,135.36906226590324,18.0
1.53,142.38663940570407,14.0
1.75,158.54163244633884,40.0
0.48,81.19663047195985,62.0
0.88,100.9315847492746,40.0
0.1791,70.00167588830459,4.0
0.1993,70.64529540502117,5.0
0.3519,76.01650566133941,14.0
0.5929,86.2427388285907,13.0
0.6797,90.41247831514453,8.0
0.7812,95.59180935082878,12.0
0.8754,100.67667284231659,17.0
1.037,109.98388309080221,20.0
0.07,66.80345551504054,19.6
0.12,68.21074108965539,26.2
0.2,70.66788520961978,29.6
0.28,73.37483764888343,36.6
1.363,130.78755194118722,33.6
1.965,175.21684741922294,50.4
0.3802,77.10939072787082,13.5
0.4004,77.90754141845062,10.2
0.4247,78.88743850341001,11.2
0.4497,79.9178445697884,12.9
0.4783,81.12402194903889,9.0
